baseline runs 5  candidate runs 5
coverage steps 0.50  phases 0.50  steps_trusted false  overall regression
VERDICT       SCOPE  KEY  NAME      METRIC       BASELINE  CANDIDATE  BAND
regression    total  -    -         cost_usd     0.10      0.20       [0.07, 0.13]
ok            total  -    -         duration_ms  1000.00   1000.00    [700.00, 1300.00]
ok            total  -    -         error_rate   0.00      0.00       [0.00, 0.35]
ok            total  -    -         nodes        12.00     12.00      [9.00, 15.00]
ok            total  -    -         tokens_in    2000.00   2000.00    [1500.00, 2500.00]
ok            total  -    -         tokens_out   800.00    800.00     [600.00, 1000.00]
improvement   phase  pa   alpha     duration_ms  1000.00   600.00     [700.00, 1300.00]
notable       phase  pa   alpha     error_rate   0.00      0.60       [0.00, 0.35]
insufficient  phase  pb   beta      metrics      0.00      0.00       -
regression    phase  pb   beta      presence     1.00      0.00       [0.65, 1.00]
insufficient  phase  pd   delta     metrics      0.00      0.00       -
improvement   phase  pd   delta     presence     0.00      1.00       [0.00, 0.35]
notable       step   s1   step-one  duration_ms  1000.00   1600.00    [700.00, 1300.00]
insufficient  step   s2   step-two  metrics      0.00      0.00       -
notable       step   s2   step-two  presence     1.00      0.00       [0.65, 1.00]
